3.19, 0.16, 2.05, -0.10
3.20, 0.16, 2.10, -0.12
3.22, 0.16, 2.15, -0.14
3.23, 0.16, 2.19, -0.15
3.25, 0.16, 2.23, -0.17
3.26, 0.16, 2.26, -0.19
3.28, 0.16, 2.29, -0.20
3.30, 0.16, 2.31, -0.22
3.31, 0.16, 2.33, -0.23
3.33, 0.15, 2.35, -0.24
3.34, 0.15, 2.36, -0.26
3.36, 0.15, 2.36, -0.27
3.38, 0.15, 2.36, -0.28
3.39, 0.15, 2.35, -0.30
3.41, 0.15, 2.35, -0.31
3.42, 0.15, 2.33, -0.32
3.44, 0.14, 2.32, -0.33
3.45, 0.14, 2.30, -0.35
3.47, 0.14, 2.27, -0.36
3.48, 0.14, 2.24, -0.37
3.50, 0.14, 2.21, -0.38
3.51, 0.13, 2.17, -0.39
3.52, 0.13, 2.13, -0.40
3.54, 0.13, 2.08, -0.41
3.55, 0.13, 2.03, -0.42
3.56, 0.12, 1.98, -0.43
3.57, 0.12, 1.92, -0.44
3.59, 0.12, 1.86, -0.45
3.60, 0.12, 1.80, -0.45
3.61, 0.11, 1.74, -0.46
3.62, 0.11, 1.67, -0.47
3.63, 0.11, 1.60, -0.48
3.64, 0.11, 1.53, -0.48
3.65, 0.10, 1.45, -0.49
3.66, 0.10, 1.37, -0.50
3.66, 0.10, 1.29, -0.51
3.67, 0.10, 1.21, -0.51
3.68, 0.09, 1.13, -0.52
3.68, 0.09, 1.05, -0.52
3.69, 0.09, 0.96, -0.53
3.69, 0.08, 0.88, -0.54
3.70, 0.08, 0.79, -0.54
3.70, 0.08, 0.70, -0.55
3.70, 0.07, 0.61, -0.55
3.70, 0.07, 0.52, -0.56
3.71, 0.07, 0.34, -0.52
3.71, 0.06, 0.25, -0.53
3.71, 0.06, 0.06, -0.50
3.70, 0.06, -0.12, -0.47
3.70, 0.06, -0.29, -0.44
3.70, 0.05, -0.47, -0.41
3.69, 0.05, -0.64, -0.38
3.69, 0.05, -0.81, -0.36
3.68, 0.05, -0.98, -0.33
3.67, 0.05, -1.15, -0.31
3.66, 0.04, -1.31, -0.28
3.65, 0.04, -1.47, -0.26
3.64, 0.04, -1.63, -0.24
3.63, 0.04, -1.79, -0.22
3.62, 0.04, -1.94, -0.20
3.60, 0.03, -2.09, -0.18
3.59, 0.03, -2.24, -0.16
3.57, 0.03, -2.38, -0.14
3.55, 0.03, -2.52, -0.12
3.54, 0.03, -2.66, -0.10
3.52, 0.03, -2.79, -0.08
3.50, 0.03, -2.92, -0.07
3.48, 0.03, -3.04, -0.05
3.46, 0.03, -3.16, -0.03
3.44, 0.03, -3.28, -0.02
3.42, 0.03, -3.39, -0.00
3.39, 0.03, -3.49, 0.01
3.37, 0.03, -3.59, 0.03
3.35, 0.02, -3.68, 0.04
3.32, 0.02, -3.77, 0.05
3.30, 0.02, -3.85, 0.07
3.27, 0.03, -3.93, 0.08
3.25, 0.03, -4.00, 0.10
3.22, 0.03, -4.06, 0.11
3.19, 0.03, -4.12, 0.12
3.17, 0.03, -4.17, 0.14
3.14, 0.03, -4.22, 0.15
3.11, 0.03, -4.26, 0.16
3.08, 0.03, -4.29, 0.17
3.06, 0.03, -4.32, 0.18
3.03, 0.03, -4.33, 0.20
3.00, 0.03, -4.34, 0.21
2.97, 0.03, -4.35, 0.22
2.94, 0.03, -4.35, 0.23
2.92, 0.03, -4.34, 0.24
2.89, 0.04, -4.32, 0.25
2.86, 0.04, -4.30, 0.26
2.83, 0.04, -4.27, 0.27
2.81, 0.04, -4.23, 0.28
2.78, 0.04, -4.19, 0.29
2.75, 0.04, -4.14, 0.30
2.73, 0.04, -4.09, 0.31
2.70, 0.05, -4.02, 0.32
2.68, 0.05, -3.96, 0.33
2.65, 0.05, -3.88, 0.33
2.63, 0.05, -3.81, 0.34
2.61, 0.05, -3.72, 0.35
2.58, 0.05, -3.64, 0.36
2.56, 0.06, -3.54, 0.36
2.54, 0.06, -3.45, 0.37
