0.10083, 3.10618, 3.11018, 0.01417, 0.01349, -0.81536, -0.47199, 0.27465, 0.17182, 3.61577, 4.44566
0.10749, 3.10159, 3.10389, 0.01559, 0.01490, -0.85150, -0.56639, 0.28757, 0.18503, 3.55391, 4.35126
0.11414, 3.09722, 3.10075, 0.01706, 0.01630, -0.88569, -0.56639, 0.30002, 0.19561, 3.49183, 4.25665
0.12080, 3.09302, 3.09761, 0.01859, 0.01780, -0.91796, -0.56639, 0.31207, 0.20618, 3.43139, 4.16163
0.12746, 3.08810, 3.09133, 0.02019, 0.01938, -0.94850, -0.66079, 0.32366, 0.21675, 3.37489, 4.06852
0.13411, 3.08351, 3.08819, 0.02186, 0.02105, -0.97703, -0.66079, 0.33497, 0.22733, 3.31705, 4.23148
0.14077, 3.07833, 3.08190, 0.02358, 0.02273, -1.00380, -0.66079, 0.34576, 0.23526, 3.26354, 4.13405
0.14742, 3.07357, 3.07876, 0.02536, 0.02449, -1.02848, -0.66079, 0.35627, 0.24583, 3.20894, 4.03322
0.15408, 3.06828, 3.07248, 0.02717, 0.02624, -1.05143, -0.75519, 0.36624, 0.25376, 3.15897, 3.93702
0.16073, 3.06346, 3.06934, 0.02904, 0.02809, -1.07227, -0.66079, 0.37596, 0.26169, 3.10733, 3.83684
0.16739, 3.05814, 3.06305, 0.03094, 0.02994, -1.09141, -0.75519, 0.38516, 0.26698, 3.06054, 3.74150
0.17405, 3.05333, 3.05991, 0.03289, 0.03187, -1.10844, -0.66079, 0.39416, 0.27491, 3.01180, 3.92543
0.18070, 3.04803, 3.05363, 0.03491, 0.03390, -1.12384, -0.75519, 0.40284, 0.28284, 2.96686, 3.82215
0.18736, 3.04325, 3.05049, 0.03693, 0.03583, -1.13712, -0.66079, 0.41112, 0.28812, 2.92114, 3.72064
0.19402, 3.03799, 3.04420, 0.03902, 0.03794, -1.14885, -0.75520, 0.41913, 0.29605, 2.87893, 3.61756
0.20067, 3.03240, 3.03792, 0.04115, 0.04006, -1.15893, -0.75519, 0.42678, 0.30398, 2.83782, 3.83361
0.20733, 3.02743, 3.03478, 0.04334, 0.04226, -1.16680, -0.75519, 0.43441, 0.31191, 2.79456, 3.72037
0.21398, 3.02206, 3.02850, 0.04556, 0.04445, -1.17313, -0.75520, 0.44163, 0.31720, 2.75506, 3.61089
0.22064, 3.01728, 3.02535, 0.04781, 0.04665, -1.17735, -0.75519, 0.44864, 0.32513, 2.71439, 3.50024
0.22729, 3.01206, 3.01907, 0.05010, 0.04894, -1.18016, -0.75519, 0.45532, 0.33042, 2.67706, 3.39013
0.23395, 3.00740, 3.01593, 0.05241, 0.05123, -1.18093, -0.66079, 0.46185, 0.33570, 2.63786, 3.60734
0.24061, 3.00315, 3.01279, 0.05475, 0.05352, -1.17986, -0.66079, 0.46812, 0.33835, 2.60023, 3.49407
0.24726, 2.99835, 3.00650, 0.05712, 0.05589, -1.17767, -0.66079, 0.47405, 0.34363, 2.56593, 3.38121
0.25392, 2.99402, 3.00336, 0.05955, 0.05835, -1.17365, -0.66079, 0.48003, 0.35156, 2.52905, 3.26287
0.26057, 2.98917, 2.99708, 0.06199, 0.06073, -1.16855, -0.66079, 0.48545, 0.35421, 2.49682, 3.47603
0.26723, 2.98482, 2.99394, 0.06446, 0.06319, -1.16165, -0.66079, 0.49082, 0.35949, 2.46262, 3.36217
0.27389, 2.98083, 2.99080, 0.06695, 0.06566, -1.15313, -0.66079, 0.49600, 0.36478, 2.42923, 3.24913
0.28054, 2.97625, 2.98451, 0.06944, 0.06812, -1.14376, -0.66079, 0.50069, 0.36742, 2.40004, 3.14027
0.28720, 2.97211, 2.98137, 0.07198, 0.07067, -1.13277, -0.66079, 0.50538, 0.37007, 2.36859, 3.33269
0.29386, 2.96830, 2.97823, 0.07458, 0.07331, -1.12033, -0.56639, 0.51013, 0.37800, 2.33621, 3.21977
0.30051, 2.96473, 2.97509, 0.07718, 0.07586, -1.10659, -0.56639, 0.51459, 0.38064, 2.30568, 3.11140
0.30717, 2.96135, 2.97195, 0.07981, 0.07850, -1.09167, -0.56639, 0.51893, 0.38593, 2.27546, 3.00064
0.31382, 2.95810, 2.96881, 0.08247, 0.08114, -1.07566, -0.47199, 0.52307, 0.39121, 2.24569, 3.16540
0.32048, 2.95496, 2.96566, 0.08517, 0.08386, -1.05862, -0.47199, 0.52716, 0.39650, 2.21632, 3.06207
0.32714, 2.95190, 2.96252, 0.08789, 0.08659, -1.04063, -0.47199, 0.53108, 0.39914, 2.18756, 2.95936
0.33379, 2.94890, 2.95938, 0.09067, 0.08941, -1.02171, -0.47199, 0.53499, 0.40707, 2.15866, 2.85411
0.34045, 2.94595, 2.95624, 0.09344, 0.09213, -1.00191, -0.47199, 0.53854, 0.40971, 2.13143, 2.99282
0.34710, 2.94391, 2.95624, 0.09625, 0.09495, -0.98084, -0.37759, 0.54220, 0.41500, 2.10125, 2.89751
0.35376, 2.94166, 2.95310, 0.09907, 0.09776, -0.95922, -0.37759, 0.54557, 0.41765, 2.07467, 2.80579
0.36042, 2.93927, 2.94996, 0.10190, 0.10058, -0.93701, -0.37760, 0.54865, 0.42029, 2.04933, 2.90538
0.36707, 2.93764, 2.94996, 0.10478, 0.10348, -0.91382, -0.28320, 0.55187, 0.42293, 2.02095, 2.82256
0.37373, 2.93571, 2.94681, 0.10771, 0.10647, -0.89019, -0.28319, 0.55503, 0.43086, 1.99478, 2.74030
0.38038, 2.93442, 2.94681, 0.11064, 0.10938, -0.86577, -0.28319, 0.55806, 0.43351, 1.96732, 2.65839
0.38704, 2.93274, 2.94367, 0.11357, 0.11228, -0.84102, -0.28319, 0.56067, 0.43615, 1.94369, 2.73481
